"Table 4c. Reported Voting and Registration of the Total Voting-Age Population, by Age, for States: November 2024",,,,,,,,,,,,,
"(Numbers in thousands, Population 18 and Over)",,,,,,,,,,,,,
Characteristics,,Total population,Total citizen population,Registered,,,,,Voted,,,,
,,,,Total registered,"Percent registered
(Total)",Margin of error (+/-)1,"Percent registered
(Citizen)",Margin of error (+/-)1,Total voted,"Percent voted
(Total)",Margin of error (+/-)1,"Percent voted
(Citizen)",Margin of error (+/-)1
,45 to 64 years,"4,738","4,187","2,960",62.5,3.5,70.7,3.8,"2,703",57.1,3.6,64.6,4
,65 years and over,"3,745","3,504","2,596",69.3,3.6,74.1,3.6,"2,346",62.7,3.6,67,3.6
NORTH CAROLINA,Total,"8,496","7,695","5,374",63.3,2.9,69.8,2.7,"4,971",58.5,2.8,64.6,2.7
,18 to 24 years,"1,143","1,076",661,57.8,8.2,61.4,8.4,562,49.1,7.7,52.2,8.1
,25 to 34 years,"1,379","1,213",757,54.9,5.2,62.4,5.4,671,48.7,5.4,55.3,5.6
,35 to 44 years,"1,291","1,045",720,55.8,6.2,68.9,5,664,51.4,5.8,63.5,5
,45 to 64 years,"2,740","2,459","1,814",66.2,4.4,73.8,3.8,"1,703",62.2,4.2,69.2,3.7
,65 years and over,"1,943","1,902","1,423",73.2,4.2,74.8,4.2,"1,371",70.6,4.1,72.1,4.1
NORTH DAKOTA,Total,582,563,442,76,2.7,78.6,2.9,401,68.9,2.7,71.2,2.7
,18 to 24 years,68,65,40,58.1,11.7,61.2,12.1,30,43.7,9.4,46,9.9
,25 to 34 years,102,98,71,69.3,6.9,72.5,7.5,61,59.5,7.4,62.4,7.6
,35 to 44 years,116,110,85,73,5.7,76.9,5.8,75,64.5,7.1,67.9,7.1
,45 to 64 years,160,157,131,81.7,3.7,83.6,3.5,126,78.5,3.9,80.4,3.7
,65 years and over,136,134,116,85.7,3.7,86.8,3.4,110,80.9,4,81.9,3.9
OHIO,Total,"9,113","8,782","6,593",72.4,2.3,75.1,2.2,"5,922",65,2.5,67.4,2.5
,18 to 24 years,968,944,450,46.4,6.3,47.6,6.4,386,39.9,6.4,40.9,6.5
,25 to 34 years,"1,606","1,473","1,112",69.2,6.1,75.5,5.6,895,55.7,6.2,60.7,6
,35 to 44 years,"1,475","1,389","1,026",69.6,4,73.9,4.2,898,60.9,4.5,64.7,4.8
